Sequence_ID,Direction,Sender,Recipient,Packet_Type,Transmission_Timestamp
139,DOWNLINK,0,"23,",CNTRL-ACK,0.0010971363041774895
151,DOWNLINK,0,"8,10,11,",CNTRL-CTA,0.0011072840256082818
152,UPLINK,10,0,CNTRL-RTS,0.0011073058091976033
153,UPLINK,11,0,CNTRL-RTS,0.0011073371858707566
154,DOWNLINK,0,"10,11,",CNTRL-CTS,0.0011082065457383536
155,UPLINK,10,0,DATA-ULDATA,0.0011082065457383536
156,UPLINK,11,0,DATA-ULDATA,0.0011099381373680301
157,DOWNLINK,0,"10,11,",CNTRL-ACK,0.0011116697289977066
174,DOWNLINK,0,"1,",CNTRL-CTA,0.0011264300510788591
175,UPLINK,1,0,CNTRL-RTS,0.0011264841431637914
176,DOWNLINK,0,"1,",CNTRL-CTS,0.001127352571208931
177,UPLINK,1,0,DATA-ULDATA,0.001127352571208931
178,DOWNLINK,0,"1,",CNTRL-ACK,0.0011290841628386074
223,DOWNLINK,0,"8,10,11,",CNTRL-CTA,0.0011696750485617768
224,UPLINK,8,0,CNTRL-RTS,0.0011697283650158876
225,DOWNLINK,0,"8,",CNTRL-CTS,0.0011705975686918486
226,UPLINK,8,0,DATA-ULDATA,0.0011705975686918486
227,DOWNLINK,0,"8,",CNTRL-ACK,0.001172329160321525
254,DOWNLINK,0,"24,",CNTRL-CTA,0.001196314683703398
255,UPLINK,24,0,CNTRL-RTS,0.0011963666292871403
256,DOWNLINK,0,"24,",CNTRL-CTS,0.0011972372038334697
257,UPLINK,24,0,DATA-ULDATA,0.0011972372038334697
258,DOWNLINK,0,"24,",CNTRL-ACK,0.0011989687954631462
386,DOWNLINK,0,"8,10,11,",CNTRL-CTA,0.0013161288519822941
387,UPLINK,8,0,CNTRL-RTS,0.001316182168436405
388,DOWNLINK,0,"8,",CNTRL-CTS,0.001317051372112366
389,UPLINK,8,0,DATA-ULDATA,0.001317051372112366
390,DOWNLINK,0,"8,",CNTRL-ACK,0.0013187829637420424
450,DOWNLINK,0,"15,26,",CNTRL-CTA,0.0013732116514162923
451,UPLINK,26,0,CNTRL-RTS,0.0013732240974405133
452,DOWNLINK,0,"26,",CNTRL-CTS,0.001374134171546364
453,UPLINK,26,0,DATA-ULDATA,0.001374134171546364
454,DOWNLINK,0,"26,",CNTRL-ACK,0.0013758657631760406
473,DOWNLINK,0,"1,",CNTRL-CTA,0.0013924711255173371
474,UPLINK,1,0,CNTRL-RTS,0.0013925252176022695
475,DOWNLINK,0,"1,",CNTRL-CTS,0.001393393645647409
476,UPLINK,1,0,DATA-ULDATA,0.001393393645647409
477,DOWNLINK,0,"1,",CNTRL-ACK,0.0013951252372770854
497,DOWNLINK,0,"9,22,",CNTRL-CTA,0.001412653119748454
498,UPLINK,22,0,CNTRL-RTS,0.00141266760678472
499,DOWNLINK,0,"22,",CNTRL-CTS,0.0014135756398785258
500,UPLINK,22,0,DATA-ULDATA,0.0014135756398785258
501,DOWNLINK,0,"22,",CNTRL-ACK,0.0014153072315082023
528,DOWNLINK,0,"5,27,",CNTRL-CTA,0.0014392927548900751
529,UPLINK,5,0,CNTRL-RTS,0.0014393070511232978
530,DOWNLINK,0,"5,",CNTRL-CTS,0.001440215275020147
531,UPLINK,5,0,DATA-ULDATA,0.001440215275020147
532,DOWNLINK,0,"5,",CNTRL-ACK,0.0014419468666498235
578,DOWNLINK,0,"1,",CNTRL-CTA,0.0014834602725030648
579,UPLINK,1,0,CNTRL-RTS,0.0014835143645879972
580,DOWNLINK,0,"1,",CNTRL-CTS,0.0014843827926331367
581,UPLINK,1,0,DATA-ULDATA,0.0014843827926331367
582,DOWNLINK,0,"1,",CNTRL-ACK,0.0014861143842628132
594,DOWNLINK,0,"15,26,",CNTRL-CTA,0.0014962621056936055
595,UPLINK,15,0,CNTRL-RTS,0.001496301203867492
596,DOWNLINK,0,"15,",CNTRL-CTS,0.0014971846258236773
597,UPLINK,15,0,DATA-ULDATA,0.0014971846258236773
598,DOWNLINK,0,"15,",CNTRL-ACK,0.0014989162174533538
615,DOWNLINK,0,"4,",CNTRL-CTA,0.0015136765395345063
616,UPLINK,4,0,CNTRL-RTS,0.0015137089756349067
617,DOWNLINK,0,"4,",CNTRL-CTS,0.0015145990596645781
618,UPLINK,4,0,DATA-ULDATA,0.0015145990596645781
619,DOWNLINK,0,"4,",CNTRL-ACK,0.0015163306512942546
633,DOWNLINK,0,"15,26,",CNTRL-CTA,0.001528323412985191
634,UPLINK,26,0,CNTRL-RTS,0.001528335859009412
635,DOWNLINK,0,"26,",CNTRL-CTS,0.0015292459331152628
636,UPLINK,26,0,DATA-ULDATA,0.0015292459331152628
637,DOWNLINK,0,"26,",CNTRL-ACK,0.0015309775247449393
639,DOWNLINK,0,"8,10,11,",CNTRL-CTA,0.0015319000448750114
640,UPLINK,11,0,CNTRL-RTS,0.0015319532051374862
641,DOWNLINK,0,"11,",CNTRL-CTS,0.0015328225650050832
642,UPLINK,11,0,DATA-ULDATA,0.0015328225650050832
643,DOWNLINK,0,"11,",CNTRL-ACK,0.0015345541566347597
729,DOWNLINK,0,"12,21,",CNTRL-CTA,0.0016129683676908823
730,UPLINK,12,0,CNTRL-RTS,0.0016129993124515659
731,DOWNLINK,0,"12,",CNTRL-CTS,0.0016138908878209541
732,UPLINK,12,0,DATA-ULDATA,0.0016138908878209541
733,DOWNLINK,0,"12,",CNTRL-ACK,0.0016156224794506306
742,DOWNLINK,0,"5,27,",CNTRL-CTA,0.0016230026404912069
743,UPLINK,5,0,CNTRL-RTS,0.0016230169367244295
744,DOWNLINK,0,"5,",CNTRL-CTS,0.0016239251606212787
745,UPLINK,5,0,DATA-ULDATA,0.0016239251606212787
746,DOWNLINK,0,"5,",CNTRL-ACK,0.0016256567522509552
790,DOWNLINK,0,"4,",CNTRL-CTA,0.0016653251178440525
791,UPLINK,4,0,CNTRL-RTS,0.001665357553944453
792,DOWNLINK,0,"4,",CNTRL-CTS,0.0016662476379741243
793,UPLINK,4,0,DATA-ULDATA,0.0016662476379741243
794,DOWNLINK,0,"4,",CNTRL-ACK,0.0016679792296038008
843,DOWNLINK,0,"5,27,",CNTRL-CTA,0.0017122601958472583
844,UPLINK,5,0,CNTRL-RTS,0.001712274492080481
845,DOWNLINK,0,"5,",CNTRL-CTS,0.00171318271597733
846,UPLINK,5,0,DATA-ULDATA,0.00171318271597733
847,DOWNLINK,0,"5,",CNTRL-ACK,0.0017149143076070066
869,DOWNLINK,0,"12,21,",CNTRL-CTA,0.0017342872303385192
870,UPLINK,12,0,CNTRL-RTS,0.0017343181750992028
871,DOWNLINK,0,"12,",CNTRL-CTS,0.001735209750468591
872,UPLINK,12,0,DATA-ULDATA,0.001735209750468591
873,DOWNLINK,0,"12,",CNTRL-ACK,0.0017369413420982676
1074,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.0019214453681126737
1075,UPLINK,13,0,CNTRL-RTS,0.0019214634180543366
1076,DOWNLINK,0,"13,",CNTRL-CTS,0.0019223678882427455
1077,UPLINK,13,0,DATA-ULDATA,0.0019223678882427455
1078,DOWNLINK,0,"13,",CNTRL-ACK,0.001924099479872422
1140,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.0019803732078068096
1141,UPLINK,14,0,CNTRL-RTS,0.0019804202766789385
1142,DOWNLINK,0,"14,",CNTRL-CTS,0.001981295727936882
1143,UPLINK,14,0,DATA-ULDATA,0.001981295727936882
1144,DOWNLINK,0,"14,",CNTRL-ACK,0.0019830273195665586
1196,DOWNLINK,0,"15,26,",CNTRL-CTA,0.002030075846200221
1197,UPLINK,26,0,CNTRL-RTS,0.002030088292224442
1198,DOWNLINK,0,"26,",CNTRL-CTS,0.0020309983663302934
1199,UPLINK,26,0,DATA-ULDATA,0.0020309983663302934
1200,DOWNLINK,0,"26,",CNTRL-ACK,0.00203272995795997
1221,DOWNLINK,0,"23,",CNTRL-CTA,0.0020511803605614064
1222,UPLINK,23,0,CNTRL-RTS,0.0020512350247247632
1223,DOWNLINK,0,"23,",CNTRL-CTS,0.0020521028806914786
1224,UPLINK,23,0,DATA-ULDATA,0.0020521028806914786
1225,DOWNLINK,0,"23,",CNTRL-ACK,0.0020538344723211553
1235,DOWNLINK,0,"15,26,",CNTRL-CTA,0.0020621371534918016
1236,UPLINK,15,0,CNTRL-RTS,0.002062176251665688
1237,DOWNLINK,0,"15,",CNTRL-CTS,0.002063059673621874
1238,UPLINK,15,0,DATA-ULDATA,0.002063059673621874
1239,DOWNLINK,0,"15,",CNTRL-ACK,0.0020647912652515506
1286,DOWNLINK,0,"3,",CNTRL-CTA,0.002107227191234854
1287,UPLINK,3,0,CNTRL-RTS,0.0021072439584332407
1288,DOWNLINK,0,"3,",CNTRL-CTS,0.0021081497113649263
1289,UPLINK,3,0,DATA-ULDATA,0.0021081497113649263
1290,DOWNLINK,0,"3,",CNTRL-ACK,0.002109881302994603
1291,DOWNLINK,0,"4,",CNTRL-CTA,0.002109881302994603
1292,UPLINK,4,0,CNTRL-RTS,0.0021099137390950037
1293,DOWNLINK,0,"4,",CNTRL-CTS,0.0021108038231246753
1294,UPLINK,4,0,DATA-ULDATA,0.0021108038231246753
1295,DOWNLINK,0,"4,",CNTRL-ACK,0.002112535414754352
1317,DOWNLINK,0,"9,22,",CNTRL-CTA,0.00213190833748586
1318,UPLINK,9,0,CNTRL-RTS,0.002131942604205698
1319,DOWNLINK,0,"9,",CNTRL-CTS,0.0021328308576159323
1320,UPLINK,9,0,DATA-ULDATA,0.0021328308576159323
1321,DOWNLINK,0,"9,",CNTRL-ACK,0.002134562449245609
1348,DOWNLINK,0,"5,27,",CNTRL-CTA,0.002158547972627476
1349,UPLINK,27,0,CNTRL-RTS,0.0021585801211238004
1350,DOWNLINK,0,"27,",CNTRL-CTS,0.0021594704927575484
1351,UPLINK,27,0,DATA-ULDATA,0.0021594704927575484
1352,DOWNLINK,0,"27,",CNTRL-ACK,0.002161202084387225
1389,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.0021944128090698105
1390,UPLINK,2,0,CNTRL-RTS,0.0021944553928996443
1391,DOWNLINK,0,"2,",CNTRL-CTS,0.0021953353291998827
1392,UPLINK,2,0,DATA-ULDATA,0.0021953353291998827
1393,DOWNLINK,0,"2,",CNTRL-ACK,0.0021970669208295594
1455,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.00225334064876394
1456,UPLINK,13,0,CNTRL-RTS,0.002253358698705603
1457,DOWNLINK,0,"13,",CNTRL-CTS,0.0022542631688940123
1458,UPLINK,13,0,DATA-ULDATA,0.0022542631688940123
1459,DOWNLINK,0,"13,",CNTRL-ACK,0.002255994760523689
1475,DOWNLINK,0,"12,21,",CNTRL-CTA,0.0022698325624747663
1476,UPLINK,12,0,CNTRL-RTS,0.00226986350723545
1477,UPLINK,21,0,CNTRL-RTS,0.0022698566816956593
1478,DOWNLINK,0,"12,21,",CNTRL-CTS,0.0022707550826048385
1479,UPLINK,12,0,DATA-ULDATA,0.0022707550826048385
1480,UPLINK,21,0,DATA-ULDATA,0.0022724866742345152
1481,DOWNLINK,0,"12,21,",CNTRL-ACK,0.002274218265864192
1561,DOWNLINK,0,"7,",CNTRL-CTA,0.0023470973561398652
1562,UPLINK,7,0,CNTRL-RTS,0.0023471497900786377
1563,DOWNLINK,0,"7,",CNTRL-CTS,0.0023480198762699375
1564,UPLINK,7,0,DATA-ULDATA,0.0023480198762699375
1565,DOWNLINK,0,"7,",CNTRL-ACK,0.002349751467899614
1609,DOWNLINK,0,"12,21,",CNTRL-CTA,0.002389419833492702
1610,UPLINK,12,0,CNTRL-RTS,0.0023894507782533858
1611,DOWNLINK,0,"12,",CNTRL-CTS,0.0023903423536227745
1612,UPLINK,12,0,DATA-ULDATA,0.0023903423536227745
1613,DOWNLINK,0,"12,",CNTRL-ACK,0.002392073945252451
1639,DOWNLINK,0,"23,",CNTRL-CTA,0.0024151369485042465
1640,UPLINK,23,0,CNTRL-RTS,0.0024151916126676034
1641,DOWNLINK,0,"23,",CNTRL-CTS,0.0024160594686343188
1642,UPLINK,23,0,DATA-ULDATA,0.0024160594686343188
1643,DOWNLINK,0,"23,",CNTRL-ACK,0.0024177910602639955
1660,DOWNLINK,0,"16,18,",CNTRL-CTA,0.0024325513823451445
1661,UPLINK,18,0,CNTRL-RTS,0.002432598961082019
1662,DOWNLINK,0,"18,",CNTRL-CTS,0.0024334739024752168
1663,UPLINK,18,0,DATA-ULDATA,0.0024334739024752168
1664,DOWNLINK,0,"18,",CNTRL-ACK,0.0024352054941048935
1667,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.002437050534365037
1668,UPLINK,2,0,CNTRL-RTS,0.002437093118194871
1669,UPLINK,17,0,CNTRL-RTS,0.0024370984238207567
1670,DOWNLINK,0,"2,17,",CNTRL-CTS,0.0024379730544951093
1671,UPLINK,2,0,DATA-ULDATA,0.0024379730544951093
1672,UPLINK,17,0,DATA-ULDATA,0.002439704646124786
1673,DOWNLINK,0,"2,17,",CNTRL-ACK,0.0024414362377544628
1735,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.0024977099656888434
1736,UPLINK,13,0,CNTRL-RTS,0.0024977280156305063
1737,DOWNLINK,0,"13,",CNTRL-CTS,0.0024986324858189157
1738,UPLINK,13,0,DATA-ULDATA,0.0024986324858189157
1739,DOWNLINK,0,"13,",CNTRL-ACK,0.0025003640774485924
1781,DOWNLINK,0,"23,",CNTRL-CTA,0.0025381874027815368
1782,UPLINK,23,0,CNTRL-RTS,0.0025382420669448937
1783,DOWNLINK,0,"23,",CNTRL-CTS,0.002539109922911609
1784,UPLINK,23,0,DATA-ULDATA,0.002539109922911609
1785,DOWNLINK,0,"23,",CNTRL-ACK,0.0025408415145412857
1805,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.00255836939701265
1806,UPLINK,14,0,CNTRL-RTS,0.002558416465884779
1807,DOWNLINK,0,"14,",CNTRL-CTS,0.0025592919171427224
1808,UPLINK,14,0,DATA-ULDATA,0.0025592919171427224
1809,DOWNLINK,0,"14,",CNTRL-ACK,0.002561023508772399
1825,DOWNLINK,0,"12,21,",CNTRL-CTA,0.0025748613107234764
1826,UPLINK,12,0,CNTRL-RTS,0.00257489225548416
